date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-01-24,Jiangxi,18,0,0,27.61399999999973,115.72209999999949,18
2020-01-24,Sichuan,15,0,0,30.617099999999905,102.71029999999935,15
2020-01-24,Shandong,15,0,0,36.34269999999968,118.14979999999937,15
2020-01-24,Anhui,15,0,0,31.82569999999984,117.2263999999996,15
2020-01-24,Fujian,10,0,0,26.07890000000027,117.98739999999988,10
2020-01-24,Henan,9,0,0,33.9549763636361,113.63745818181904,9
2020-01-24,Jiangsu,9,0,0,32.97110000000024,119.45500000000118,9
2020-01-24,Hainan,8,0,0,19.195899999999913,109.74530000000036,8
2020-01-24,Tianjin,8,0,0,39.305399999999786,117.32299999999897,8
2020-01-24,Yunnan,5,0,0,24.974000000000125,101.48700000000048,5
2020-01-24,Shaanxi,5,0,0,35.191699999999784,108.87010000000008,5
