date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-04-18,Yukon,9,0,0,64.2823,-135.0,9
2020-04-19,Alberta,2803,51,0,53.9333,-116.5765,2752
2020-04-19,Manitoba,254,5,0,53.7609,-98.8139,249
2020-04-19,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-19,Nova Scotia,675,9,0,44.681999999999995,-63.7443,666
2020-04-19,Ontario,11561,591,0,51.2538,-85.3232,10970
2020-04-19,Quebec,17950,1400,0,52.9399,-73.5491,16550
2020-04-19,Saskatchewan,315,4,0,52.9399,-106.4509,311
2020-04-19,Yukon,9,0,0,64.2823,-135.0,9
2020-04-20,Alberta,2908,59,0,53.9333,-116.5765,2849
2020-04-20,Manitoba,254,6,0,53.7609,-98.8139,248
2020-04-20,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-20,Nova Scotia,721,9,0,44.682,-63.7443,712
2020-04-20,Ontario,12063,624,0,51.2538,-85.3232,11439
2020-04-20,Quebec,19319,1503,0,52.9399,-73.5491,17816
2020-04-20,Saskatchewan,316,4,0,52.9399,-106.4509,312
2020-04-20,Yukon,11,0,0,64.2823,-135.0,11
2020-04-21,Alberta,3095,61,0,53.9333,-116.5765,3034
2020-04-21,Manitoba,255,6,0,53.7609,-98.8139,249
2020-04-21,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-21,Nova Scotia,737,10,0,44.682,-63.7443,727
2020-04-21,Ontario,12715,694,0,51.2538,-85.3232,12021
2020-04-21,Quebec,20126,1618,0,52.9399,-73.5491,18508
2020-04-21,Saskatchewan,320,4,0,52.9399,-106.4509,316
2020-04-21,Yukon,11,0,0,64.2823,-135.0,11
2020-04-22,Alberta,3401,66,0,53.9333,-116.5765,3335
2020-04-22,Manitoba,257,6,0,53.7609,-98.8139,251
2020-04-22,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-22,Nova Scotia,772,12,0,44.682,-63.7443,760
2020-04-22,Ontario,13718,762,0,51.2538,-85.3232,12956
2020-04-22,Quebec,20965,1735,0,52.9399,-73.5491,19230
2020-04-22,Saskatchewan,326,4,0,52.9399,-106.4509,322
2020-04-22,Yukon,11,0,0,64.2823,-135.0,11
2020-04-23,Alberta,3720,68,0,53.9333,-116.5765,3652
2020-04-23,Manitoba,262,6,0,53.7609,-98.8139,256
2020-04-23,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-23,Nova Scotia,827,16,0,44.682,-63.7443,811
2020-04-23,Ontario,14068,806,0,51.2538,-85.3232,13262
2020-04-23,Quebec,21838,1852,0,52.9399,-73.5491,19986
2020-04-23,Saskatchewan,331,4,0,52.9399,-106.4509,327
2020-04-23,Yukon,11,0,0,64.2823,-135.0,11
2020-04-24,Alberta,4017,72,0,53.9333,-116.5765,3945
2020-04-24,Manitoba,263,6,0,53.7609,-98.8139,257
2020-04-24,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-24,Ontario,14550,862,0,51.2538,-85.3232,13688
2020-04-24,Quebec,22616,1968,0,52.9399,-73.5491,20648
2020-04-24,Saskatchewan,341,4,0,52.9399,-106.4509,337
2020-04-24,Yukon,11,0,0,64.2823,-135.0,11
2020-04-25,Alberta,4233,73,0,53.9333,-116.5765,4160
2020-04-25,Manitoba,267,6,0,53.7609,-98.8139,261
2020-04-25,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-25,Ontario,15012,916,0,51.2538,-85.3232,14096
2020-04-25,Quebec,23267,2092,0,52.9399,-73.5491,21175
2020-04-25,Saskatchewan,349,4,0,52.9399,-106.4509,345
2020-04-25,Yukon,11,0,0,64.2823,-135.0,11
2020-04-26,Alberta,4480,73,0,53.9333,-116.5765,4407
2020-04-26,Manitoba,271,6,0,53.7609,-98.8139,265
2020-04-26,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-26,Ontario,15568,960,0,51.2538,-85.3232,14608
2020-04-26,Quebec,24109,2203,0,52.9399,-73.5491,21906
2020-04-26,Saskatchewan,353,4,0,52.9399,-106.4509,349
2020-04-26,Yukon,11,0,0,64.2823,-135.0,11
2020-04-27,Alberta,4696,75,0,53.9333,-116.5765,4621
2020-04-27,Manitoba,273,6,0,53.7609,-98.8139,267
2020-04-27,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-27,Nova Scotia,900,24,0,44.682,-63.7443,876
2020-04-27,Ontario,15970,1023,0,51.2538,-85.3232,14947
2020-04-27,Quebec,24983,2318,0,52.9399,-73.5491,22665
2020-04-27,Saskatchewan,365,5,0,52.9399,-106.4509,360
2020-04-27,Yukon,11,0,0,64.2823,-135.0,11
2020-04-28,Alberta,4850,80,0,53.9333,-116.5765,4770
2020-04-28,Manitoba,273,6,0,53.7609,-98.8139,267
2020-04-28,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-28,Nova Scotia,915,27,0,44.682,-63.7443,888
2020-04-28,Ontario,16500,1072,0,51.2538,-85.3232,15428
2020-04-28,Quebec,25761,2456,0,52.9399,-73.5491,23305
2020-04-28,Saskatchewan,366,5,0,52.9399,-106.4509,361
2020-04-28,Yukon,11,0,0,64.2823,-135.0,11
2020-04-29,Alberta,5165,87,0,53.9333,-116.5765,5078
2020-04-29,Manitoba,275,6,0,53.7609,-98.8139,269
2020-04-29,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-29,Nova Scotia,935,28,0,44.682,-63.7443,907
2020-04-29,Ontario,16978,1153,0,51.2538,-85.3232,15825
2020-04-29,Quebec,26610,2607,0,52.9399,-73.5491,24003
2020-04-29,Saskatchewan,383,6,0,52.9399,-106.4509,377
2020-04-29,Yukon,11,0,0,64.2823,-135.0,11
2020-04-30,Alberta,5355,90,0,53.9333,-116.5765,5265
2020-04-30,Manitoba,277,6,0,53.7609,-98.8139,271
2020-04-30,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-04-30,Nova Scotia,947,28,0,44.682,-63.7443,919
2020-04-30,Ontario,17395,1205,0,51.2538,-85.3232,16190
2020-04-30,Quebec,27550,2728,0,52.9399,-73.5491,24822
2020-04-30,Saskatchewan,389,7,0,52.9399,-106.4509,382
2020-04-30,Yukon,11,0,0,64.2823,-135.0,11
2020-05-01,Alberta,5573,92,0,53.9333,-116.5765,5481
2020-05-01,Manitoba,281,6,0,53.7609,-98.8139,275
2020-05-01,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-05-01,Nova Scotia,959,29,0,44.682,-63.7443,930
2020-05-01,Ontario,17880,1265,0,51.2538,-85.3232,16615
2020-05-01,Quebec,28656,2866,0,52.9399,-73.5491,25790
2020-05-01,Saskatchewan,415,7,0,52.9399,-106.4509,408
2020-05-01,Yukon,11,0,0,64.2823,-135.0,11
2020-05-02,Alberta,5670,94,0,53.9333,-116.5765,5576
2020-05-02,Manitoba,282,6,0,53.7609,-98.8139,276
2020-05-02,New Brunswick,118,0,0,46.5653,-66.4619,118
2020-05-02,Nova Scotia,963,31,0,44.682,-63.7443,932
2020-05-02,Ontario,18321,1292,0,51.2538,-85.3232,17029
